"SampleID"	"ExtractID"	"SequenceID"	"steps_remaining"	"LibraryCode"	"LibraryTube"	"LibraryBarcode"	"SampVolPool"	"TotalPoolVol"	"BeadVol"	"Conc_QC2"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"	"SampleSet"	"LibPrepDate"	"LibPrepWorkflow"	"LibPrepKit"	"FlowCellType"	"FlongleAdapter"	"SeqDevice"	"strands"	"fragment_type"	"Length"	"InputMassStart"	"TemplateVolPrep"	"PoolSamples"	"InputMassFinal"	"ExtractDate"	"ExtractedBy"	"ExtractKit"	"ExtractBox"	"ExtractNotes"	"ExtractConc"	"SampleCollectedBy"	"SampleNotes"	"Bristol"	"SampleTime"	"SampleStabilizer"	"CollectionDate"	"Subject"	"Subj_Certainty"
"HAM-9-DRS"	"DNA1-HAM-9-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-12-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 8"	""	80	"SA"	""	2	730	"DNA/RNA Shield"	2013-03-18	"Hamlet"	"yes"
"GIN-1-DRS"	"DNA1-GIN-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-06-26	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 2"	""	47	"SA"	""	2	730	"DNA/RNA Shield"	2023-03-10	"Ginger"	"yes"
"GIN-1-MGE"	"DNA1-GIN-1-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-06-26	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 2"	""	0.2	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-10	"Ginger"	"yes"
"GOO-1-DRS"	"DNA1-GOO-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-06	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 3"	"low"	12	"SA"	""	2	730	"DNA/RNA Shield"	2023-03-10	"Goose"	"yes"
"GOO-1-MGE"	"DNA1-GOO-1-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-06	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 3"	""	2.5	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-10	"Goose"	"yes"
"GOO-1-DRS"	"DNA2-GOO-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 3"	""	4	"SA"	""	2	730	"DNA/RNA Shield"	2023-03-10	"Goose"	"yes"
"GOO-1-MGE"	"DNA2-GOO-1-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 3"	""	4.9	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-10	"Goose"	"yes"
"HAM-1-DRS"	"DNA1-HAM-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-05-16	"SA/AMR"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 1"	"low"	0.2	"SA"	""	1	800	"DNA/RNA Shield"	2023-03-10	"Hamlet"	"yes"
"HAM-1-MGE"	"DNA1-HAM-1-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-05-16	"SA/AMR"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 1"	""	0	"SA"	""	1	800	"Molecular Grade (96%) Ethanol"	2023-03-10	"Hamlet"	"yes"
"HAM-1-DRS"	"DNA2-HAM-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-05-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 1"	""	0.3	"SA"	""	1	800	"DNA/RNA Shield"	2023-03-10	"Hamlet"	"yes"
